test_name,tcp_flavor,time_iter,bits_per_second,rtt_ms,cwnd_size_bytes
amsterdam_lan_load,bbr,0,117415849.18034557,67.162,4677040
amsterdam_lan_load,bbr,1,260052831.1376564,67.153,5954176
amsterdam_lan_load,bbr,2,330320262.3225343,67.298,6547856
amsterdam_lan_load,bbr,3,330297148.1807671,67.187,6388576
amsterdam_lan_load,bbr,4,301982940.1598517,67.335,7069136
amsterdam_lan_load,bbr,5,278927068.1227824,68.186,3123336
amsterdam_lan_load,bbr,6,297779219.39932454,68.21,2730928
amsterdam_lan_load,bbr,7,330300455.6279337,67.322,6672384
amsterdam_lan_load,bbr,8,319816957.1926005,67.223,6573920
amsterdam_lan_load,bbr,9,297792318.03581864,67.307,6533376
amsterdam_lan_load,bbr,10,256918072.05603635,67.248,6637632
amsterdam_lan_load,bbr,11,229638828.3770396,67.158,6368304
amsterdam_lan_load,bbr,12,278891659.8822704,67.373,7092304
amsterdam_lan_load,bbr,13,318793877.24849623,67.219,6568128
amsterdam_lan_load,bbr,14,306172548.94275945,67.241,6524688
amsterdam_lan_load,bbr,15,284165806.6977985,67.217,6750576
amsterdam_lan_load,bbr,16,273676965.7568605,67.27,6736096
amsterdam_lan_load,bbr,17,319820788.8316087,67.33,6652112
amsterdam_lan_load,bbr,18,328209217.8240478,67.319,6458080
amsterdam_lan_load,bbr,19,301975092.72489476,67.167,6599984
amsterdam_lan_load,bbr,20,282073719.6002545,67.242,6993840
amsterdam_lan_load,bbr,21,289407838.50257045,67.196,6712928
amsterdam_lan_load,bbr,22,292557377.3246519,67.35,5792
amsterdam_lan_load,bbr,23,241177784.4916676,67.323,6744784
amsterdam_lan_load,bbr,24,285207538.0924134,68.048,6378440
amsterdam_lan_load,bbr,25,271592855.68909025,67.233,6744784
amsterdam_lan_load,bbr,26,278919254.2637976,67.195,6733200
amsterdam_lan_load,bbr,27,311419907.039847,67.28,6730304
amsterdam_lan_load,bbr,28,299883155.3060849,67.191,7083616
amsterdam_lan_load,bbr,29,322971745.58088213,67.232,6724512
amsterdam_lan_load,bbr,30,312479391.6698512,67.211,6562336
amsterdam_lan_load,bbr,31,335547000.0214054,67.292,6203232
amsterdam_lan_load,bbr,32,324002838.53258413,68.19,2758440
